Title,URL,Description,Best Rating,Worst Rating,Rating Value,Genre,Duration
Harry Potter and the Sorcerer&apos;s Stone,https://www.imdb.com/title/tt0241527/,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",10,1,7.7,"Adventure, Family, Fantasy",PT2H32M
Poor Things,https://www.imdb.com/title/tt14230458/,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",10,1,7.8,"Comedy, Drama, Romance",PT2H21M
Elevation,https://www.imdb.com/title/tt23558280/,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,10,1,5.6,"Action, Sci-Fi, Thriller",PT1H31M
Dog Man,https://www.imdb.com/title/tt10954718/,"Dog Man, half dog and half man, he is sworn to protect and serve as he doggedly pursues the feline supervillain Petey the Cat.",10,1,6.3,"Animation, Action, Adventure",PT1H29M
The Lord of the Rings: The War of the Rohirrim,https://www.imdb.com/title/tt14824600/,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the H...",10,1,6.3,"Animation, Action, Adventure",PT2H14M
The Ministry of Ungentlemanly Warfare,https://www.imdb.com/title/tt5177120/,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,10,1,6.8,"Action, Comedy, War",PT2H2M
Ash,https://www.imdb.com/title/tt17489650/,A woman wakes up on a distant planet and finds the crew of her space station viciously killed. Her investigation into what happened sets in motion a terrifying chain of events.,10,1,5.9,"Horror, Sci-Fi, Thriller",PT1H35M
Smile 2,https://www.imdb.com/title/tt29268110/,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.",10,1,6.7,"Horror, Mystery, Thriller",PT2H7M
Control Freak,https://www.imdb.com/title/tt30789086/,A motivational speaker is tormented by an unrelenting itch on the back of her head.,10,1,4.5,Horror,PT1H44M
The Dark Knight,https://www.imdb.com/title/tt0468569/,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",10,1,9,"Action, Crime, Drama",PT2H32M
Nickel Boys,https://www.imdb.com/title/tt23055660/,"Based on the Pulitzer Prize-winning novel by Colson Whitehead, &quot;Nickel Boys&quot; chronicles the powerful friendship between two young African-American men navigating the harrowing trials of reform school together in Florida.",10,1,7,Drama,PT2H20M
X,https://www.imdb.com/title/tt13560574/,"In 1979, a group of young filmmakers set out to make an adult film in a rural Texas farm, but when their reclusive, elderly hosts catch them in the act, the crew find themselves fighting for their lives.",10,1,6.5,"Horror, Mystery, Thriller",PT1H45M
Furiosa: A Mad Max Saga,https://www.imdb.com/title/tt12037194/,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,10,1,7.5,"Action, Adventure, Sci-Fi",PT2H28M
Deadpool &amp; Wolverine,https://www.imdb.com/title/tt6263850/,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",10,1,7.6,"Action, Adventure, Comedy",PT2H8M
Eden,https://www.imdb.com/title/tt23149780/,Follows a group of people fueled by a profound desire for change; in order to turn their back to society they leave everything behind and set their futures on the harsh landscape of the Galapagos.,10,1,6.1,Thriller,PT2H
The French Connection,https://www.imdb.com/title/tt0067116/,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",10,1,7.7,"Action, Crime, Drama",PT1H44M
Love,https://www.imdb.com/title/tt3774694/,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",10,1,6.1,"Drama, Romance",PT2H15M
